image_name,steering_angle
1479425445783307622.pgm,-0.095993109
1479425445833353168.pgm,-0.095993109
1479425445883484127.pgm,-0.0926163083
1479425445933390665.pgm,-0.0925024524
1479425445983503068.pgm,-0.0925024524
1479425446033440044.pgm,-0.0925024524
1479425446083426096.pgm,-0.0909072999
1479425446133410346.pgm,-0.0907571241
1479425446183468695.pgm,-0.0890117884
1479425446233463132.pgm,-0.0890117884
1479425446283447100.pgm,-0.0890117884
1479425446333431175.pgm,-0.0890117884
1479425446383424337.pgm,-0.0890117884
1479425446433457370.pgm,-0.0890117884
1479425446483371405.pgm,-0.0890117884
1479425446533500137.pgm,-0.0890117884
1479425446583477115.pgm,-0.0874872625
1479425446633522506.pgm,-0.0855211318
1479425446683589238.pgm,-0.0822533951
1479425446733573761.pgm,-0.0748715219
1479425446783611898.pgm,-0.0650519925
1479425446833546046.pgm,-0.0563473461
1479425446883533208.pgm,-0.0476457669
1479425446933547800.pgm,-0.0441621124
1479425446983608400.pgm,-0.0404076617
1479425447033578750.pgm,-0.0360549705
1479425447083596868.pgm,-0.0349065848
1479425447133467484.pgm,-0.0349065848
1479425447183549871.pgm,-0.0349065848
1479425447233486454.pgm,-0.0349065848
1479425447283725051.pgm,-0.0299683912
1479425447333693598.pgm,-0.0198171681
1479425447383620607.pgm,-0.0079496861
1479425447433621760.pgm,0.0005404904
1479425447483674337.pgm,0.0017453292
1479425447533663020.pgm,0.0017453292
1479425447583646955.pgm,-0.0031404231
1479425447633645468.pgm,-0.0057500963
1479425447683675176.pgm,-0.006981317
1479425447733726775.pgm,-0.0074867421
1479425447783780269.pgm,-0.0118499151
1479425447833680291.pgm,-0.0189216895
1479425447883694922.pgm,-0.0350931301
1479425447933701813.pgm,-0.0493447445
1479425447983829975.pgm,-0.050614547
1479425448033742629.pgm,-0.0484056186
1479425448083725825.pgm,-0.0427384437
1479425448133784412.pgm,-0.0357468189
1479425448183782273.pgm,-0.0266082278
1479425448233780330.pgm,-0.0239969069
1479425448283749801.pgm,-0.022689281
1479425448333826064.pgm,-0.022689281
1479425448383792183.pgm,-0.022689281
1479425448433778649.pgm,-0.022689281
1479425448483793143.pgm,-0.0244346093
1479425448533885890.pgm,-0.0244346093
1479425448583862227.pgm,-0.0244346093
1479425448633847925.pgm,-0.0244346093
1479425448683822662.pgm,-0.0244346093
1479425448733882312.pgm,-0.0244346093
1479425448783845387.pgm,-0.0244346093
1479425448833950015.pgm,-0.0244346093
1479425448883924440.pgm,-0.0244346093
1479425448933879663.pgm,-0.0244346093
1479425448983876216.pgm,-0.0232274674
1479425449034016614.pgm,-0.022689281
1479425449083989539.pgm,-0.022689281
1479425449134003281.pgm,-0.022689281
1479425449183978806.pgm,-0.0209439509
1479425449233996144.pgm,-0.0209439509
1479425449283962329.pgm,-0.0209439509
1479425449333971165.pgm,-0.0191986226
1479425449383983954.pgm,-0.0191986226
1479425449434025534.pgm,-0.0191986226
1479425449483987552.pgm,-0.0191986226
1479425449534040093.pgm,-0.0191986226
1479425449584053959.pgm,-0.0191986226
1479425449634016171.pgm,-0.0191986226
1479425449684123260.pgm,-0.0191986226
1479425449734027001.pgm,-0.0191986226
1479425449784082050.pgm,-0.0191986226
1479425449834134569.pgm,-0.0174532924
1479425449884087282.pgm,-0.0146306583
1479425449934088214.pgm,-0.0065746036
1479425449984134982.pgm,0.0038979244
1479425450034140940.pgm,0.0141650942
1479425450084078501.pgm,0.0174532924
1479425450134193600.pgm,0.0174532924
1479425450184172865.pgm,0.0174532924
1479425450234144378.pgm,0.0174532924
1479425450284149775.pgm,0.0164130736
1479425450334262000.pgm,0.0157079641
1479425450384178750.pgm,0.0157079641
1479425450434161961.pgm,0.0157079641
1479425450484147791.pgm,0.0139626339
1479425450534184818.pgm,0.0157079641
1479425450584162450.pgm,0.0157079641
1479425450634258305.pgm,0.0139626339
1479425450684227110.pgm,0.0112286509
1479425450734209984.pgm,0.0104719754
1479425450784248908.pgm,0.0094965665
1479425450834260421.pgm,0.0068855589
1479425450884230583.pgm,0.0052359877
1479425450934345661.pgm,0.0052359877
1479425450984309065.pgm,0.0042855773
1479425451034286630.pgm,0.0017453292
1479425451084317905.pgm,0.0017453292
1479425451134304083.pgm,0.0017453292
1479425451184289528.pgm,0.0017453292
1479425451234414501.pgm,0.0017453292
1479425451284350407.pgm,0.0017453292
1479425451334284259.pgm,0.0017453292
1479425451384384161.pgm,0.0017453292
1479425451434326964.pgm,0.0017453292
1479425451484368953.pgm,0.0008632546
1479425451534399242.pgm,-0.005257308
1479425451584434387.pgm,-0.0200794795
1479425451634350263.pgm,-0.0383463289
1479425451684382956.pgm,-0.0540681667
1479425451734356975.pgm,-0.0575958639
1479425451784399230.pgm,-0.0567548737
1479425451834383177.pgm,-0.054156353
1479425451884425416.pgm,-0.0489642486
1479425451934441674.pgm,-0.038543493
1479425451984403693.pgm,-0.0246920494
1479425452034457721.pgm,-0.0055859684
1479425452084417312.pgm,0.0162174822
1479425452134520843.pgm,0.0380955629
1479425452184466002.pgm,0.0521901355
1479425452234335175.pgm,0.0558505356
1479425452284375611.pgm,0.0498477745
1479425452334564662.pgm,0.0438328147
1479425452384627152.pgm,0.0383972451
1479425452434545378.pgm,0.0366519131
1479425452484609213.pgm,0.0383972451
1479425452534553900.pgm,0.0417505789
1479425452584569515.pgm,0.0426253383
1479425452634553611.pgm,0.0453785621
1479425452684562980.pgm,0.0446747624
1479425452734636836.pgm,0.0420595157
1479425452784608361.pgm,0.0418879017
1479425452834609980.pgm,0.0418879017
1479425452884611953.pgm,0.037699309
1479425452934601849.pgm,0.031599688
1479425452984630588.pgm,0.0289858678
1479425453034674381.pgm,0.02462778
1479425453084683167.pgm,0.0185236823
1479425453134711461.pgm,0.0141671723
1479425453184665706.pgm,0.0139626339
1479425453234723205.pgm,0.0139626339
1479425453284690109.pgm,0.0074387494
1479425453334712197.pgm,0.0019769997
1479425453384695179.pgm,-0.0006303105
1479425453434771997.pgm,-0.0034906585
1479425453484719139.pgm,-0.0082181536
1479425453534887926.pgm,-0.0137149285
1479425453584746259.pgm,-0.0180607007
1479425453634743110.pgm,-0.0224150929
1479425453684792122.pgm,-0.0285214703
1479425453734799602.pgm,-0.0360848818
1479425453784765115.pgm,-0.0424676631
1479425453834837075.pgm,-0.0471238904
1479425453884781104.pgm,-0.052359879
1479425453934842652.pgm,-0.0555417246
1479425453984831513.pgm,-0.0558505356
1479425454034831660.pgm,-0.0558505356
1479425454084836219.pgm,-0.0558505356
1479425454134878742.pgm,-0.0558505356
1479425454184883542.pgm,-0.0541052073
1479425454234889377.pgm,-0.0541052073
1479425454284867819.pgm,-0.052359879
1479425454334887035.pgm,-0.041596773
1479425454384960133.pgm,-0.0258922988
1479425454434866999.pgm,-0.0071430544
1479425454484877099.pgm,0.010670412
1479425454534965755.pgm,0.020556732
1479425454584960425.pgm,0.0204678493
1479425454634985147.pgm,0.0130225248
1479425454684962544.pgm,-0.001386164
1479425454734974049.pgm,-0.0162073486
1479425454784969623.pgm,-0.0305715728
1479425454834992068.pgm,-0.0349065848
1479425454885024662.pgm,-0.0349065848
1479425454935000744.pgm,-0.0318598941
1479425454985024030.pgm,-0.0300956352
1479425455034974159.pgm,-0.0314159282
1479425455084988816.pgm,-0.033566916
1479425455135196249.pgm,-0.0349065848
1479425455185043601.pgm,-0.0349065848
1479425455235022567.pgm,-0.0361668787
1479425455285050614.pgm,-0.0387798549
1479425455335094080.pgm,-0.0431413165
1479425455385076496.pgm,-0.0453785621
1479425455435061538.pgm,-0.0453785621
1479425455485082736.pgm,-0.0471238904
1479425455535127618.pgm,-0.0471238904
1479425455585094908.pgm,-0.0471238904
1479425455635124585.pgm,-0.0471238904
1479425455685131513.pgm,-0.0471238904
1479425455735105758.pgm,-0.0471238904
1479425455785133934.pgm,-0.0471238904
1479425455835194894.pgm,-0.0471238904
1479425455885189938.pgm,-0.0471238904
1479425455935224714.pgm,-0.0471238904
1479425455985211822.pgm,-0.0471238904
1479425456035194304.pgm,-0.0471238904
1479425456085192347.pgm,-0.0471238904
1479425456135205196.pgm,-0.0471238904
1479425456185239597.pgm,-0.0471238904
1479425456235223757.pgm,-0.0471238904
1479425456285289737.pgm,-0.0471238904
1479425456335235126.pgm,-0.0471238904
1479425456385302974.pgm,-0.0453785621
1479425456435270061.pgm,-0.0425290268
1479425456485283777.pgm,-0.0379449234
1479425456535173529.pgm,-0.028170316
1479425456585276789.pgm,-0.0132111374
1479425456635797438.pgm,0.0015915227
1479425456685307525.pgm,0.017855694
1479425456735295991.pgm,0.0272422716
1479425456785300349.pgm,0.0298394468
1479425456835252850.pgm,0.0314159282
1479425456885298305.pgm,0.029523456
1479425456935439781.pgm,0.0251399014
1479425456985195670.pgm,0.0208022095
1479425457035293970.pgm,0.0191986226
1479425457085310967.pgm,0.0191986226
1479425457135319871.pgm,0.0174532924
1479425457185327174.pgm,0.0174532924
1479425457235454552.pgm,0.0174532924
1479425457285396179.pgm,0.0173391774
1479425457335680191.pgm,0.0157079641
1479425457385403889.pgm,0.0157079641
1479425457435365862.pgm,0.0157079641
1479425457485440946.pgm,0.013869031
1479425457535450517.pgm,0.0077695244
1479425457585440122.pgm,0.0015942759
1479425457635453799.pgm,-0.008068715
1479425457685490309.pgm,-0.023033751
1479425457735463426.pgm,-0.0448001129
1479425457785461222.pgm,-0.0647810043
1479425457835461298.pgm,-0.0750491545
1479425457885465463.pgm,-0.0732682431
1479425457935443994.pgm,-0.0636204964
1479425457985574404.pgm,-0.046938132
1479425458035516248.pgm,-0.0225679111
1479425458085493111.pgm,2.56344534706E-05
1479425458136360647.pgm,0.0123629654
1479425458185513500.pgm,0.0191929708
1479425458235501711.pgm,0.0209439509
1479425458285570854.pgm,0.0192137077
1479425458335571469.pgm,0.0183459228
1479425458385563406.pgm,0.0174532924
1479425458435515237.pgm,0.0174532924
1479425458485591816.pgm,0.0174532924
1479425458535558462.pgm,0.0191986226
1479425458585637408.pgm,0.02089177
1479425458635623430.pgm,0.0217564698
1479425458685606031.pgm,0.0243647436
1479425458735633876.pgm,0.0337998107
1479425458785721635.pgm,0.0503007589
1479425458835615526.pgm,0.0696309131
1479425458885675290.pgm,0.0784465863
1479425458935565509.pgm,0.0802851468
1479425458985707633.pgm,0.0802851468
1479425459035786213.pgm,0.0963342623
1479425459085797381.pgm,0.1349096792
1479425459135788300.pgm,0.1720659251
1479425459185786240.pgm,0.1949723865
1479425459235825132.pgm,0.2007128596
1479425459285815544.pgm,0.197361766
1479425459335818316.pgm,0.1880709879
1479425459385787916.pgm,0.1850049049
1479425459435785050.pgm,0.1930694362
1479425459485754631.pgm,0.2153662728
1479425459535766306.pgm,0.2376977002
1479425459585771912.pgm,0.2443460971
1479425459636465071.pgm,0.241123556
1479425459685848966.pgm,0.2292276837
1479425459735915311.pgm,0.2174932228
1479425459786004828.pgm,0.214675501
1479425459835837416.pgm,0.214675501
1479425459885872479.pgm,0.214675501
1479425459935836098.pgm,0.2140445409
1479425459985895144.pgm,0.209676809
1479425460035898639.pgm,0.2094395161
1479425460085913121.pgm,0.2094395161
1479425460135915916.pgm,0.2118018355
1479425460185897187.pgm,0.2176374286
1479425460235891152.pgm,0.2280869137
1479425460285874473.pgm,0.2385468182
1479425460335911555.pgm,0.2426007688
1479425460385924823.pgm,0.2440548895
1479425460435939785.pgm,0.2443460971
1479425460485916173.pgm,0.2426007688
1479425460535995187.pgm,0.2408554405
1479425460585919323.pgm,0.2408554405
1479425460636021329.pgm,0.2408554405
1479425460686012382.pgm,0.2408554405
1479425460735978366.pgm,0.2408554405
1479425460786022659.pgm,0.2408554405
1479425460836126575.pgm,0.2408554405
1479425460886062982.pgm,0.2408554405
1479425460936039201.pgm,0.2408554405
1479425460986067216.pgm,0.2408554405
1479425461036044239.pgm,0.2408554405
1479425461086025165.pgm,0.2408554405
1479425461136092742.pgm,0.2408554405
1479425461186041375.pgm,0.2408554405
1479425461236058072.pgm,0.2408554405
1479425461286099435.pgm,0.2408554405
1479425461336139116.pgm,0.2408554405
1479425461386151397.pgm,0.2421808968
1479425461436092381.pgm,0.2500237254
1479425461486115901.pgm,0.2604846871
1479425461536098853.pgm,0.2700569429
1479425461586114145.pgm,0.2770535572
1479425461636214238.pgm,0.2818447734
1479425461686225785.pgm,0.2935868158
1479425461736150276.pgm,0.3044850053
1479425461786111572.pgm,0.3144562963
1479425461836053567.pgm,0.3232467576
1479425461886149455.pgm,0.3246312439
1479425461936239444.pgm,0.3225100555
1479425461986247230.pgm,0.3181500342
1479425462036292389.pgm,0.3176499307
1479425462086339659.pgm,0.3176499307
1479425462136375243.pgm,0.3155408366
1479425462186258632.pgm,0.3070223397
1479425462236287595.pgm,0.2897754277
1479425462286259544.pgm,0.2638546469
1479425462336263555.pgm,0.2351215728
1479425462386336544.pgm,0.2045666723
1479425462436366156.pgm,0.1757910722
1479425462486333565.pgm,0.1453347308
1479425462536357592.pgm,0.1151215424
1479425462586437466.pgm,0.0871987907
1479425462636389990.pgm,0.0637070403
1479425462686412613.pgm,0.0517931288
1479425462736443337.pgm,0.050614547
1479425462786339435.pgm,0.0517522066
1479425462836441371.pgm,0.052359879
1479425462886374748.pgm,0.052359879
1479425462936411672.pgm,0.0521138403
1479425462986389593.pgm,0.052359879
1479425463036419577.pgm,0.052359879
1479425463086398960.pgm,0.050614547
1479425463136517686.pgm,0.0467059414
1479425463186442372.pgm,0.0397182947
1479425463236508913.pgm,0.0327386989
1479425463286463571.pgm,0.0268512797
1479425463336416846.pgm,0.0261799395
1479425463386544935.pgm,0.0261799395
1479425463436580362.pgm,0.0261799395
1479425463486542942.pgm,0.0261799395
1479425463536555320.pgm,0.0244346093
1479425463586548994.pgm,0.0244346093
1479425463636538475.pgm,0.0244346093
1479425463686540439.pgm,0.0234154829
1479425463736563501.pgm,0.0225449091
1479425463786541648.pgm,0.0199387684
1479425463836571234.pgm,0.0119907117
1479425463886551352.pgm,0.0032640507
1479425463936636948.pgm,-0.0037336486
1479425463986676844.pgm,-0.0141920443
1479425464036541085.pgm,-0.0262782017
1479425464086638268.pgm,-0.0316017278
1479425464136608112.pgm,-0.0349065848
1479425464186611296.pgm,-0.0322072815
1479425464236603193.pgm,-0.0278534243
1479425464286627281.pgm,-0.0244346093
1479425464336639025.pgm,-0.022689281
1479425464386624593.pgm,-0.022689281
1479425464436634617.pgm,-0.0208974376
1479425464486686174.pgm,-0.0173680768
1479425464536723116.pgm,-0.0121788945
1479425464586654079.pgm,-0.004337981
1479425464636737631.pgm,0.0035081178
1479425464686718454.pgm,0.0096104486
1479425464736677121.pgm,0.0139626339
1479425464786819578.pgm,0.0279637318
1479425464836759993.pgm,0.0765685987
1479425464886744466.pgm,0.1368623453
1479425464936803774.pgm,0.1845196432
1479425464986752484.pgm,0.2076255665
1479425465036782011.pgm,0.2042933985
1479425465086825944.pgm,0.1852054091
1479425465136802389.pgm,0.1608122233
1479425465186824434.pgm,0.1380643398
1479425465236787478.pgm,0.12238512
1479425465286839373.pgm,0.1161324882
1479425465336790704.pgm,0.1134463996
1479425465386827745.pgm,0.1117010713
1479425465436888835.pgm,0.1117010713
1479425465486704280.pgm,0.1066714257
1479425465536740826.pgm,0.0929314129
1479425465586851290.pgm,0.0704323847
1479425465636861208.pgm,0.0426716516
1479425465686863460.pgm,0.0154261205
1479425465736850570.pgm,-0.0013707458
1479425465786885844.pgm,-0.006981317
1479425465836991130.pgm,-0.006981317
1479425465886884016.pgm,-0.0027670562
1479425465936951597.pgm,-0.0001483232
1479425465986941594.pgm,0.00318026
1479425466036861894.pgm,0.011879894
1479425466086876737.pgm,0.0261700369
1479425466136972790.pgm,0.0479655838
1479425466187045408.pgm,0.0722062846
1479425466236967408.pgm,0.0917137781
1479425466286924703.pgm,0.0977384374
1479425466337047501.pgm,0.0977384374
1479425466387068708.pgm,0.0953237264
1479425466437097862.pgm,0.0942477807
1479425466486985077.pgm,0.0990312996
1479425466537029996.pgm,0.1062366288
1479425466587146615.pgm,0.1088513053
1479425466636982407.pgm,0.1131872091
1479425466687154186.pgm,0.1175690243
1479425466737019562.pgm,0.1268929776
1479425466787107269.pgm,0.133257979
1479425466837157829.pgm,0.1408506779
1479425466887161583.pgm,0.1431169957
1479425466937061748.pgm,0.1431169957
1479425466987144748.pgm,0.1454505853
1479425467037250592.pgm,0.1512783934
1479425467087097662.pgm,0.165106878
1479425467137030932.pgm,0.188339065
1479425467187091121.pgm,0.2127592933
1479425467237121179.pgm,0.2343222276
1479425467287147926.pgm,0.2512127486
1479425467337226793.pgm,0.2579788619
1479425467387190438.pgm,0.2635447085
1479425467437240204.pgm,0.2670353651
1479425467487131527.pgm,0.2670353651
1479425467537124339.pgm,0.2670353651
1479425467587213312.pgm,0.2635447085
1479425467637198914.pgm,0.2635447085
1479425467687245795.pgm,0.2635447085
1479425467737249898.pgm,0.2635447085
1479425467787180376.pgm,0.2635447085
1479425467837327756.pgm,0.2621959653
1479425467887243591.pgm,0.2428415598
1479425467937326324.pgm,0.2109819432
1479425467987181003.pgm,0.1770972333
1479425468037288408.pgm,0.1553032699
1479425468087278138.pgm,0.1544114972
1479425468137258519.pgm,0.1761176472
1479425468187221976.pgm,0.2161819278
1479425468237279961.pgm,0.2515777361
1479425468287290727.pgm,0.269597202
1479425468337392490.pgm,0.2753001147
1479425468387363668.pgm,0.2757620215
1479425468437361934.pgm,0.2770271781
1479425468487275816.pgm,0.2898734343
1479425468537505265.pgm,0.3086502567
1479425468587327535.pgm,0.3309221507
1479425468637426950.pgm,0.3398261249
1479425468687444865.pgm,0.3466476812
1479425468737475475.pgm,0.3391247481
1479425468787473873.pgm,0.3392859856
1479425468837539575.pgm,0.3563748128
1479425468887430302.pgm,0.3762418165
1479425468937411998.pgm,0.382227093
1479425468987450855.pgm,0.3766715292
1479425469037422805.pgm,0.3711324516
1479425469087464981.pgm,0.3700098097
1479425469137457112.pgm,0.3717551231
1479425469187499703.pgm,0.3740874723
1479425469237439190.pgm,0.3827918168
1479425469287461723.pgm,0.397289569
1479425469337485349.pgm,0.4100973816
1479425469387486765.pgm,0.431623416
1479425469437503369.pgm,0.4443361548
1479425469487482402.pgm,0.4505419562
1479425469537533477.pgm,0.4491777508
1479425469587525741.pgm,0.438868555
1479425469637544742.pgm,0.4179553061
1479425469687549988.pgm,0.3963725377
1479425469737509574.pgm,0.3835427786
1479425469787567215.pgm,0.3735004663
1479425469837591780.pgm,0.376991123
1479425469887565806.pgm,0.3901864277
1479425469937616223.pgm,0.4007477895
1479425469987547665.pgm,0.3996804059
1479425470037571237.pgm,0.3979350626
1479425470087672702.pgm,0.3926990926
1479425470137602908.pgm,0.3899165522
1479425470187611693.pgm,0.3874630928
1479425470237670583.pgm,0.3864357145
1479425470287629689.pgm,0.3836858994
1479425470337669931.pgm,0.3756954693
1479425470387666538.pgm,0.3607515527
1479425470437708967.pgm,0.3378258446
1479425470487627112.pgm,0.3118438027
1479425470537669194.pgm,0.2918006544
1479425470587738917.pgm,0.2718300104
1479425470637737075.pgm,0.2608265904
1479425470687714256.pgm,0.2618893528
1479425470737828505.pgm,0.2635447085
1479425470787718069.pgm,0.2633917169
1479425470837723661.pgm,0.2573647542
1479425470887715177.pgm,0.2440963921
1479425470937824540.pgm,0.2293194676
1479425470987742112.pgm,0.2197647289
1479425471037946994.pgm,0.2119976315
1479425471087708350.pgm,0.2076602515
1479425471137879420.pgm,0.2024581879
1479425471187788170.pgm,0.2024581879
1479425471237926467.pgm,0.1936218379
1479425471287812391.pgm,0.1709988575
1479425471337938290.pgm,0.1605702937
1479425471387869489.pgm,0.1605702937
1479425471437817786.pgm,0.1588440235
1479425471487922567.pgm,0.1483762963
1479425471537881702.pgm,0.1379156289
1479425471587865675.pgm,0.130926582
1479425471637871684.pgm,0.1291543692
1479425471687847719.pgm,0.1291543692
1479425471737892952.pgm,0.1256637126
1479425471787856644.pgm,0.1205527679
1479425471837891940.pgm,0.1118222383
1479425471887842023.pgm,0.101448904
1479425471937964536.pgm,0.0866025965
1479425471988059874.pgm,0.0820978996
1479425472038075823.pgm,0.075200555
1479425472088001704.pgm,0.0665015895
1479425472138171167.pgm,0.0645771846
1479425472188174498.pgm,0.0645771846
1479425472238035203.pgm,0.0620666447
1479425472288105559.pgm,0.0559608448
1479425472338141795.pgm,0.0558505356
1479425472388088728.pgm,0.0524902165
1479425472438151321.pgm,0.0456370144
1479425472488161318.pgm,0.0319541826
1479425472538098169.pgm,0.0180348459
1479425472588142940.pgm,0.0039472927
1479425472638183644.pgm,-0.0021502029
1479425472688106000.pgm,-0.0103050068
1479425472738226851.pgm,-0.0122173047
1479425472788196547.pgm,-0.0106481845
1479425472838198592.pgm,-0.0080369177
1479425472888232417.pgm,-0.006981317
1479425472938252437.pgm,-0.0111513773
1479425472988233929.pgm,-0.0154848502
1479425473038182153.pgm,-0.0209439509
1479425473088169184.pgm,-0.0211654379
1479425473138220022.pgm,-0.0191986226
1479425473188249245.pgm,-0.0159364258
1479425473238252451.pgm,-0.0157079641
1479425473288281447.pgm,-0.0157079641
1479425473338265983.pgm,-0.0157079641
1479425473388245228.pgm,-0.0157079641
1479425473438326991.pgm,-0.0157079641
1479425473488272568.pgm,-0.0139626339
1479425473538246977.pgm,-0.0104719754
1479425473588285460.pgm,-0.0104719754
1479425473638295459.pgm,-0.0104719754
1479425473688291452.pgm,-0.0104719754
1479425473738358929.pgm,-0.0081569751
1479425473788285813.pgm,-0.006981317
1479425473838316755.pgm,-0.006981317
1479425473888375278.pgm,-0.0055646513
1479425473938375490.pgm,0.0005422619
1479425473988331148.pgm,0.0031505868
1479425474038441715.pgm,0.0052359877
1479425474088396056.pgm,0.0052359877
1479425474138376609.pgm,0.006981317
1479425474188402642.pgm,0.006981317
1479425474238370303.pgm,0.006981317
1479425474288443130.pgm,0.006981317
1479425474338481132.pgm,0.006981317
1479425474388404577.pgm,0.006981317
1479425474438416493.pgm,0.0074545442
1479425474488456262.pgm,0.006981317
1479425474538455214.pgm,0.0087266462
1479425474588420270.pgm,0.0087266462
1479425474638458150.pgm,0.0087266462
1479425474688495756.pgm,0.0087266462
1479425474738524774.pgm,0.0087266462
1479425474788520389.pgm,0.0074256272
1479425474838565095.pgm,0.0017453292
1479425474888420539.pgm,-0.0034906585
1479425474938465270.pgm,-0.0104719754
1479425474988433846.pgm,-0.0104719754
1479425475038597612.pgm,-0.0061866482
1479425475088523291.pgm,0.0067809747
1479425475138528325.pgm,0.0227960167
1479425475188503326.pgm,0.0421328589
1479425475238439346.pgm,0.0562076041
1479425475288549236.pgm,0.059341196
1479425475338512029.pgm,0.0555070152
1479425475388514936.pgm,0.050614547
1479425475438522963.pgm,0.0488692187
1479425475488518345.pgm,0.0488692187
1479425475538554968.pgm,0.0467989606
1479425475588609769.pgm,0.0400541509
1479425475638567482.pgm,0.0290478021
1479425475688557528.pgm,0.0174233328
1479425475738621943.pgm,0.0022929882
1479425475788654601.pgm,-0.0180615709
1479425475838585986.pgm,-0.0377875687
1479425475888678646.pgm,-0.0511778812
1479425475938681487.pgm,-0.0578669902
1479425475988629010.pgm,-0.059341196
1479425476038620673.pgm,-0.059341196
1479425476088700194.pgm,-0.059341196
1479425476138632420.pgm,-0.059341196
1479425476188653632.pgm,-0.0621926232
1479425476238948004.pgm,-0.0645771846
1479425476288694141.pgm,-0.0667758806
1479425476338673200.pgm,-0.0715584978
1479425476388749768.pgm,-0.0767944902
1479425476438703321.pgm,-0.0744366246
1479425476488789361.pgm,-0.0602676163
1479425476538783734.pgm,-0.0413127284
1479425476588728563.pgm,-0.0338505886
1479425476638744234.pgm,-0.0331612565
1479425476688741578.pgm,-0.029330524
1479425476738775155.pgm,-0.011389364
1479425476788842204.pgm,0.0048558561
1479425476838781343.pgm,0.0104719754
1479425476888787441.pgm,0.00945342
1479425476938859087.pgm,0.0016009963
1479425476988807753.pgm,-0.0082552716
1479425477038887379.pgm,-0.0251049981
1479425477088807040.pgm,-0.0478328524
1479425477138807785.pgm,-0.0704515657
1479425477188922979.pgm,-0.0976539104
1479425477238840334.pgm,-0.1261625434
1479425477288907543.pgm,-0.150686365
1479425477338960729.pgm,-0.1751040511
